DM,MC
101,科学研究人员
102,高等教育教师
103,中等教育教师
104,其他在职人员
105,普通全日制应届本科毕业生
106,成人应届本科毕业生
107,其他人员
211,应届硕士毕业生
212,在学硕士(硕博连读）
213,应届本科毕业生(本科直博)
220,未就业人员
231,科学研究人员
232,其他专业技术人员
233,高等教育教师
234,其他教学人员
235,行政办公人员
236,商业服务业人员
240,其他在职人员
