DM,MC
121,全国统考
122,推荐免试
123,单独考试
125,管理类联考
126,法硕联考
127,强军计划
128,援藏计划
129,农村师资计划
131,港澳台联考
211,普通招考
223,硕博连读
224,本科直博
231,港澳台联考
