YXDM,YXMC,SSDM,SSMC,BXLXDM,BXLXMC,XZLBDM,XZLBMC,SF211,SF985
11546,广西科技师范学院,45,广西壮族自治区,12,普通高等学校:本科院校:学院,06,师范院校,否,否
11548,广西财经学院,45,广西壮族自治区,12,普通高等学校:本科院校:学院,08,财经院校,否,否
11549,南宁学院,45,广西壮族自治区,32,民办高等学校,02,工科院校,否,否
11551,重庆科技学院,50,重庆市,12,普通高等学校:本科院校:学院,02,工科院校,否,否
11552,四川旅游学院,51,四川省,12,普通高等学校:本科院校:学院,02,工科院校,否,否
11553,成都纺织高等专科学校,51,四川省,13,普通高等学校:专科院校:高等专科学校,02,工科院校,否,否
11556,文山学院,53,云南省,12,普通高等学校:本科院校:学院,06,师范院校,否,否
11557,昆明冶金高等专科学校,53,云南省,13,普通高等学校:专科院校:高等专科学校,02,工科院校,否,否
11560,西安财经学院,61,陕西省,12,普通高等学校:本科院校:学院,08,财经院校,否,否
11561,甘肃民族师范学院,62,甘肃省,12,普通高等学校:本科院校:学院,06,师范院校,否,否
11562,兰州文理学院,62,甘肃省,12,普通高等学校:本科院校:学院,01,综合院校,否,否
11565,乌鲁木齐职业大学,65,新疆维吾尔自治区,14,普通高等学校:专科院校:高等职业学校,01,综合院校,否,否
11585,连云港师范高等专科学校,32,江苏省,13,普通高等学校:专科院校:高等专科学校,06,师范院校,否,否
11600,湖北经济学院,42,湖北省,12,普通高等学校:本科院校:学院,08,财经院校,否,否
11604,湖南冶金职业技术学院,43,湖南省,14,普通高等学校:专科院校:高等职业学校,02,工科院校,否,否
11607,钦州学院,45,广西壮族自治区,12,普通高等学校:本科院校:学院,01,综合院校,否,否
11608,广西水利电力职业技术学院,45,广西壮族自治区,14,普通高等学校:专科院校:高等职业学校,02,工科院校,否,否
11625,中国青年政治学院,11,北京市,12,普通高等学校:本科院校:学院,09,政法院校,否,否
11626,北京青年政治学院,11,北京市,13,普通高等学校:专科院校:高等专科学校,07,语言院校,否,否
11629,北华航天工业学院,13,河北省,12,普通高等学校:本科院校:学院,02,工科院校,否,否
11630,山西省财政税务专科学校,14,山西省,13,普通高等学校:专科院校:高等专科学校,08,财经院校,否,否
11631,河套学院,15,内蒙古自治区,12,普通高等学校:本科院校:学院,06,师范院校,否,否
11632,沈阳工程学院,21,辽宁省,12,普通高等学校:本科院校:学院,02,工科院校,否,否
11635,哈尔滨信息工程学院,23,黑龙江省,32,民办高等学校,02,工科院校,否,否
11641,淮海工学院,32,江苏省,12,普通高等学校:本科院校:学院,02,工科院校,否,否
11646,宁波大学,33,浙江省,11,普通高等学校:本科院校:大学,01,综合院校,否,否
11647,浙江传媒学院,33,浙江省,12,普通高等学校:本科院校:学院,07,语言院校,否,否
11652,河南财政金融学院,41,河南省,12,普通高等学校:本科院校:学院,08,财经院校,否,否
11653,南阳理工学院,41,河南省,12,普通高等学校:本科院校:学院,02,工科院校,否,否
11654,武汉商学院,42,湖北省,12,普通高等学校:本科院校:学院,08,财经院校,否,否
11656,广东石油化工学院,44,广东省,12,普通高等学校:本科院校:学院,01,综合院校,否,否
11658,海南师范大学,46,海南省,11,普通高等学校:本科院校:大学,06,师范院校,否,否
11660,重庆理工大学,50,重庆市,11,普通高等学校:本科院校:大学,02,工科院校,否,否
11661,四川民族学院,51,四川省,12,普通高等学校:本科院校:学院,06,师范院校,否,否
11663,黔南民族医学高等专科学校,52,贵州省,13,普通高等学校:专科院校:高等专科学校,05,医药院校,否,否
11664,西安邮电大学,61,陕西省,11,普通高等学校:本科院校:大学,02,工科院校,否,否
11671,桂林师范高等专科学校,45,广西壮族自治区,13,普通高等学校:专科院校:高等专科学校,06,师范院校,否,否
11688,山东工商学院,37,山东省,12,普通高等学校:本科院校:学院,02,工科院校,否,否
11709,呼和浩特民族学院,15,内蒙古自治区,12,普通高等学校:本科院校:学院,07,语言院校,否,否
11726,长春大学,22,吉林省,11,普通高等学校:本科院校:大学,01,综合院校,否,否
11731,贵州商学院,52,贵州省,12,普通高等学校:本科院校:学院,08,财经院校,否,否
11733,上海出版印刷高等专科学校,31,上海市,13,普通高等学校:专科院校:高等专科学校,02,工科院校,否,否
11736,西安航空学院,61,陕西省,12,普通高等学校:本科院校:学院,02,工科院校,否,否
